route,route_type,route_id,dir_label,n_stops,frequency,is_loop,first,last,role,direction_group,base_route_id,confidence,source,verified,verifier_agree,added_or_removed,evidence
103,General,BR_TAGO_USB194101035,들꽃학습원 방면,62,3,False,꽃바위,들꽃학습원,main,B:들꽃학습원 방면 (outbound 꽃바위→들꽃학습원),,high,agent,True,True,Full one-way outbound leg; identical to the outbound first half of loop 033 (62 stops match exactly).,"꽃바위→들꽃학습원 one-way, 62 stops, f3. reverse_pair=true with 034. jaccard 0.771 with 034 because the two directions run different one-way streets downtown (outbound via 선거관리위원회·신중앙시장·중앙전통시장·태화루; inbound via 강변공영주차장·풍적맨션·학성배수장앞·옥성초). Full corridor coverage; not a short-turn of 033 (automated 'short_turn' label is an artifact of the loop superset)."
103,General,BR_TAGO_USB194101033,꽃바위 순환,124,7,True,꽃바위,꽃바위,circular,C:꽃바위 순환 (round-trip loop),,high,agent,True,True,Full round trip 꽃바위→…→들꽃학습원(midpoint)→…→꽃바위 = outbound leg (identical to 035) + inbound leg (≈034). Vs the standalone inbound 034 it additionally serves 염포동 on the return.,"is_loop=true, first=last=꽃바위, 124 stops. Passes 들꽃학습원 at the midpoint (index ~61) then retraces the corridor in reverse via the opposite one-way downtown streets. Most frequent pattern (f7 vs 3+3). First 62 stops == 035 exactly; remaining stops == 034 plus 염포동."
104,General,BR_TAGO_USB196101041,대왕암공원 방면,56,96,False,율리공영차고지,대왕암공원,main,대왕암공원 방면,BR_TAGO_USB196101041,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=96, 56 stops"
104,General,BR_TAGO_USB196101042,율리 방면,56,96,False,대왕암공원,율리공영차고지종점,main,율리 방면,BR_TAGO_USB196101042,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=96, 56 stops"
106,General,BR_TAGO_USB194101062,꽃바위 방면,68,88,False,덕하공영차고지(기점),꽃바위,main,꽃바위 방면,BR_TAGO_USB194101062,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=88, 68 stops"
106,General,BR_TAGO_USB194101061,덕하차고지 방면,72,88,False,꽃바위,덕하공영차고지(종점),main,덕하차고지 방면,BR_TAGO_USB194101061,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=88, 72 stops"
107,General,BR_TAGO_USB193101072,꽃바위 방면,65,26,False,태화강역,꽃바위,main,꽃바위 방면,BR_TAGO_USB193101072,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=26, 65 stops"
107,General,BR_TAGO_USB193101071,태화강역 방면,64,26,False,꽃바위,태화강역(종점),main,태화강역 방면,BR_TAGO_USB193101071,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=26, 64 stops"
108,General,BR_TAGO_USB194101082,꽃바위 방면,64,20,False,성안종점,꽃바위,main,꽃바위 방면,BR_TAGO_USB194101082,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=20, 64 stops"
108,General,BR_TAGO_USB194101081,성안청구 방면,66,20,False,꽃바위,성안종점,main,성안청구 방면,BR_TAGO_USB194101081,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=20, 66 stops"
11,General,BR_TAGO_USB192100111,동덕현대아파트 방면,14,38,False,우정선경1차아파트,동덕현대아파트,main,동덕현대아파트 방면,BR_TAGO_USB192100111,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=38, 14 stops"
11,General,BR_TAGO_USB192100112,우정선경아파트 방면,15,38,False,동덕현대아파트,우정선경1차아파트,main,우정선경아파트 방면,BR_TAGO_USB192100112,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=38, 15 stops"
111,General,BR_TAGO_USB196101113,꽃바위 순환,54,8,True,꽃바위,꽃바위,circular,꽃바위 순환,BR_TAGO_USB196101113,high,auto,False,,,"single variant; freq=8, 54 stops; loop (first==last)"
112,General,BR_TAGO_USB196101125,모화 방면,73,4,False,꽃바위,모화,main,A:모화행,,high,agent,True,True,directional half: covers outbound 꽃바위→모화 only; relative to loop 123 omits the return leg 모화초등학교…명촌동입구…꽃바위,"꽃바위→모화 one-way, 73 stops, freq=4. Exact prefix of loop 123 (first=꽃바위, last=모화). seam_a_to_b=true with 123 (123's last 꽃바위 == 125's first), jaccard 0.924. Reverse pair with 124 (jaccard 0.823, reverse_pair=true, seam both ways). Reaches the full terminus 모화 (not a short-turn) — the canonical outbound directional service of its group. Distinct outbound-only couplets present: 합동공업사·차량등록사업소입구·한라신천지타운·약수마을."
112,General,BR_TAGO_USB196101124,꽃바위 방면,71,4,False,모화,꽃바위,main,B:꽃바위행,,high,agent,True,True,directional half: covers inbound 모화→꽃바위 only; relative to loop 123 omits the outbound leg 꽃바위→…→모화,"모화→꽃바위 one-way, 71 stops, freq=4. Exact suffix of loop 123 (first=모화, last=꽃바위). seam_b_to_a=true with 123 (124's last 꽃바위 == 123's first), jaccard 0.899. Reverse pair with 125 (jaccard 0.823, reverse_pair=true). Spans full 모화↔꽃바위 (not a short-turn) — canonical inbound directional service. Distinct inbound-only couplets: 명촌동입구·영산공업사·한라신천지타운앞·약수제일아파트앞."
112,General,BR_TAGO_USB196101123,꽃바위 순환,143,24,True,꽃바위,꽃바위,circular,C:꽃바위순환,,high,agent,True,True,full round trip = outbound leg (=125: 꽃바위→모화) ⊕ inbound leg (=124: 모화→꽃바위) joined at 모화 apex,"is_loop=true, first=last=꽃바위, 143 stops, freq=24 (operational workhorse). Stop sequence is the EXACT concatenation of 125 (꽃바위→모화, 73 stops) and 124 (모화→꽃바위, 71 stops) at the 모화 turnaround: 143=73+71-1. Outbound half (seq 1-72: 꽃바위…울산공항…농소…천곡사거리…모화) matches 125 stop-for-stop incl. 합동공업사·농수산물종합유통센터후문·농소공영차고지; inbound half (모화…명촌동입구·영산공업사…꽃바위) matches 124. jaccard 0.924 vs 125, 0.899 vs 124."
1127,Express,BR_TAGO_USB196111272,노포동역 방면,46,36,False,농소공영차고지,노포동역,main,노포동역 방면,BR_TAGO_USB196111272,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=36, 46 stops"
1127,Express,BR_TAGO_USB196111271,농소차고지 방면,45,36,False,노포동역,농소공영차고지,main,농소차고지 방면,BR_TAGO_USB196111271,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=36, 45 stops"
1137,Express,BR_TAGO_USB196111372,노포동역 방면,45,48,False,태화강역,노포동역,main,노포동역 방면,BR_TAGO_USB196111372,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=48, 45 stops"
1137,Express,BR_TAGO_USB196111371,태화강역 방면,43,48,False,노포동역,태화강역(종점),main,태화강역 방면,BR_TAGO_USB196111371,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=48, 43 stops"
114,General,BR_TAGO_USB196101142,꽃바위 방면,64,36,False,율리공영차고지,꽃바위,main,꽃바위 방면,BR_TAGO_USB196101142,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=36, 64 stops"
114,General,BR_TAGO_USB196101141,율리 방면,66,36,False,꽃바위,율리공영차고지종점,main,율리 방면,BR_TAGO_USB196101141,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=36, 66 stops"
1147,Express,BR_TAGO_USB196111471,노포동역 방면,27,60,False,농소공영차고지,노포동역,main,노포동역 방면,BR_TAGO_USB196111471,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=60, 27 stops"
1147,Express,BR_TAGO_USB196111472,농소차고지 방면,29,60,False,노포동역,농소공영차고지,main,농소차고지 방면,BR_TAGO_USB196111472,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=60, 29 stops"
12,General,BR_TAGO_USB192100121,홈플러스 방면,26,50,False,울산테크노파크,홈플러스 중구점,main,A:홈플러스 방면(테크노파크→홈플러스 중구점),,high,agent,True,True,,"freq 50 (highest, tied workhorse with reverse-main 122); 26 stops 울산테크노파크→홈플러스 중구점; passes 동덕현대아파트 between 유곡중학교 and 축산농협; seam_a_to_b true to 122 at 홈플러스 중구점; jaccard 0.893 with its detour 123. It is the trunk that 123 diverges from."
12,General,BR_TAGO_USB192100123,홈플러스 방면,27,37,False,울산테크노파크,홈플러스 중구점,detour,A:홈플러스 방면(테크노파크→홈플러스 중구점),BR_TAGO_USB192100121,high,agent,True,True,"adds 유곡 apartment diversion E편한세상, 유곡푸르지오 (after 유곡중학교); drops 동덕현대아파트; identical termini 울산테크노파크→홈플러스 중구점, rejoins trunk at 축산농협","freq 37 (< 121's 50); 27 stops vs 121's 26; jaccard 0.893 with 121; same outer termini and same trunk except the 유곡 segment (동덕현대아파트 replaced by E편한세상+유곡푸르지오), rejoining at 축산농협. Same destination as 121 → detour, not branch."
12,General,BR_TAGO_USB192100122,울산테크노파크 방면,19,50,False,홈플러스중구점,테크노파크(종점),main,B:울산테크노파크 방면(홈플러스 중구점→테크노파크),,high,agent,True,True,,freq 50 (highest in group; reverse direction of main 121); 19 stops 홈플러스중구점→테크노파크(종점); passes 동덕현대아파트 between 축산농협 and 유곡중학교; receives seam from 121 at 홈플러스중구점; jaccard 0.857 with its detour 124. Trunk that 124 diverges from.
12,General,BR_TAGO_USB192100124,울산테크노파크 방면,20,38,False,홈플러스중구점,테크노파크(종점),detour,B:울산테크노파크 방면(홈플러스 중구점→테크노파크),BR_TAGO_USB192100122,high,agent,True,True,"adds 유곡푸르지오, E편한세상 (after 축산농협); drops 동덕현대아파트; identical termini 홈플러스중구점→테크노파크(종점), rejoins trunk at 유곡중학교/유곡교","freq 38 (< 122's 50); 20 stops vs 122's 19; jaccard 0.857 with 122; exact mirror of detour 123 — swaps 동덕현대아파트 for 유곡푸르지오+E편한세상, rejoining at 유곡중학교. Same destination as 122 → detour, not branch."
121,General,BR_TAGO_USB194101214,꽃바위 방면,57,2,False,푸르지오1차,꽃바위,short_turn,A:꽃바위 방면(inbound 푸르지오1차→꽃바위),BR_TAGO_USB194101213,high,agent,True,True,"removes the entire outbound half of the loop (꽃바위…푸르지오1차 outbound), running only the return; adds 일산새마을금고앞 on the 화암중학교→꽃바위아파트 segment (loop's inbound omits it, serving it outbound-only). Net = inbound-only/return half-leg.","frequency=2; one-way 푸르지오1차→꽃바위 (57 stops); seam_b_to_a=true (214.last 꽃바위 == 213.first), relationship b_subset_unordered_of_a, jaccard 0.95 vs loop. = loop's inbound/return half run standalone. reverse_pair with 215 (seams both ways at 꽃바위 & 푸르지오1차). Very low freq => first/last one-way trip."
121,General,BR_TAGO_USB194101215,강동푸르지오 방면,59,1,False,꽃바위,푸르지오1차,short_turn,B:강동푸르지오 방면(outbound 꽃바위→푸르지오1차),BR_TAGO_USB194101213,high,agent,True,True,"removes the entire inbound return half of the loop (강동서희스타힐스…화암중학교…꽃바위), terminating at 푸르지오1차; also drops 황토전 vs loop outbound (loop: 황토전경로당,황토전,복골마을 → 215: 황토전경로당,복골마을). Net = outbound-only half-leg.","frequency=1; one-way 꽃바위→푸르지오1차 (59 stops); seam_a_to_b=true (213.last 꽃바위 == 215.first), relationship b_subset_detour_of_a, jaccard 0.983 vs loop. = loop's outbound half run standalone. reverse_pair with 214 (seams both ways at 꽃바위 & 푸르지오1차). Very low freq => first/last one-way trip, not an independent corridor."
121,General,BR_TAGO_USB194101213,꽃바위 순환,115,26,True,꽃바위,꽃바위,circular,C:꽃바위 순환(loop),,high,agent,True,True,full round-trip circuit 꽃바위→푸르지오1차(turnaround)→꽃바위; serves both single-direction-only stops 문현관앞/일산새마을금고앞(outbound) and 황토전(both legs),"frequency=26 — dominates route (vs f1/f2 for the two legs); is_loop=true, 115-stop full circuit 꽃바위↔푸르지오1차↔꽃바위; jaccard 0.983 vs 215 and 0.95 vs 214 with both legs proven subsets of it (relationships b_subset_detour_of_a, b_subset_unordered_of_a; seams at 꽃바위 & 푸르지오1차). Wins on BOTH frequency and coverage, so canonical not merely longest."
122,General,BR_TAGO_USB195101223,꽃바위 순환,121,39,True,꽃바위,꽃바위,circular,A:꽃바위 순환,,high,agent,True,True,,"freq 39 — dominant (>2x next, next is 226 f10); full 꽃바위 circular loop 꽃바위→…→북울산역(기점)→…→꽃바위, 121 stops, is_loop=true; jaccard 0.955 w/226 (its outbound half, seam 223→226, b_subset_unordered), 0.879 w/227 (its inbound half). Both operational dominance and coverage point here. Canonical loop = overall 본선 of the route."
122,General,BR_TAGO_USB195101224,꽃바위 순환,119,5,True,꽃바위,꽃바위,detour,A:꽃바위 순환,BR_TAGO_USB195101223,high,agent,True,True,adds industrial arm 매곡119안전센터→자동차부품혁신센터→평해사입구→일신정밀→리한 (5 stops absent from 223) en route to 북울산역(기점); drops bare 매곡 stop and the direct 매곡-apt outbound ordering (apts now served only on the return leg),"freq 5; is_loop=true, 119 stops; vs 223 it reroutes the approach to 북울산역 through the 자동차부품혁신센터·평해사입구·일신정밀·리한·매곡119안전센터 industrial arm, then rejoins at 북울산역(기점) and returns via the 매곡 apartments; jaccard 0.915 w/223 with reverse_pair=true (loop artifact). Same terminus/area, rerouted arm → detour, not branch."
122,General,BR_TAGO_USB195101226,매곡푸르지오 방면,64,10,False,꽃바위,북울산역(종점),main,B:매곡푸르지오 방면,,high,agent,True,True,,"freq 10; one-way (is_loop=false) 꽃바위→북울산역(종점), 64 stops = the outbound half of loop 223 (jaccard 0.955, relationship b_subset_unordered_of_a, seam 223→226). Sole member and full outbound coverage → 본선 of the 매곡푸르지오/북울산역-bound directional group."
122,General,BR_TAGO_USB195101225,꽃바위 방면,57,7,False,매곡에일린의뜰1.2차,꽃바위,short_turn,C:꽃바위 방면,BR_TAGO_USB195101227,high,agent,True,True,"drops 북울산역(기점)·공공산후조리원; starts at 매곡에일린의뜰1.2차 (begins inside 매곡, omitting the 북울산역 terminal)","freq 7 (higher than 227's 3 — the operational workhorse, but literally a 단축); one-way 매곡에일린의뜰1.2차→꽃바위, 57 stops = 227 minus its first 2 stops; jaccard 0.966 w/227, relationship a_short_turn_of_b. Same inbound direction as 227, just truncated at the NW end."
122,General,BR_TAGO_USB195101227,꽃바위 방면,59,3,False,북울산역(기점),꽃바위,main,C:꽃바위 방면,,medium,agent,True,True,,"freq 3; one-way (is_loop=false) 북울산역(기점)→꽃바위, 59 stops = the inbound half of the loop with FULL coverage incl. the 북울산역 terminal; jaccard 0.879 w/223, 0.966 w/225. Chosen 본선 of 꽃바위 방면 over the more-frequent 225 (f7) because 225 drops the 북울산역 terminal — coverage over frequency."
123,General,BR_TAGO_USB194101232,꽃바위 방면,72,32,False,천상중학교,꽃바위,main,꽃바위 방면,BR_TAGO_USB194101232,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=32, 72 stops"
123,General,BR_TAGO_USB194101231,천상중학교 방면,70,32,False,꽃바위,천상중학교,main,천상중학교 방면,BR_TAGO_USB194101231,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=32, 70 stops"
124,General,BR_TAGO_USB194101242,대왕암공원 방면,55,50,False,율리공영차고지,대왕암공원,main,대왕암공원 방면,BR_TAGO_USB194101242,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=50, 55 stops"
124,General,BR_TAGO_USB194101241,율리 방면,56,50,False,대왕암공원,율리공영차고지종점,main,율리 방면,BR_TAGO_USB194101241,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=50, 56 stops"
126,General,BR_TAGO_USB194101262,꽃바위 방면,75,32,False,덕하공영차고지(기점),꽃바위,main,꽃바위 방면,BR_TAGO_USB194101262,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=32, 75 stops"
126,General,BR_TAGO_USB194101261,덕하차고지 방면,78,32,False,꽃바위,덕하공영차고지(종점),main,덕하차고지 방면,BR_TAGO_USB194101261,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=32, 78 stops"
127,General,BR_TAGO_USB194101272,꽃바위 방면,65,102,False,태화강역,꽃바위,main,꽃바위 방면,BR_TAGO_USB194101272,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=102, 65 stops"
127,General,BR_TAGO_USB194101271,태화강역 방면,66,102,False,꽃바위,태화강역(종점),main,태화강역 방면,BR_TAGO_USB194101271,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=102, 66 stops"
13,General,BR_TAGO_USB192100131,박병원앞 방면,26,44,False,함월구민운동장,박병원,main,박병원앞 방면,BR_TAGO_USB192100131,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=44, 26 stops"
13,General,BR_TAGO_USB192100132,함월구민운동장 방면,10,43,False,박병원,함월구민운동장,main,함월구민운동장 방면,BR_TAGO_USB192100132,high,auto,False,,,"clean reverse pair (seam match both ways, no subset signal); freq=43, 10 stops"
131,General,BR_TAGO_USB196101313,꽃바위 순환,49,18,True,꽃바위,꽃바위,circular,A:꽃바위 순환,,high,agent,True,True,none — full circle; out to 벽산유토피아 and back to 꽃바위,"is_loop=true, 49 stops, frequency=18 (dominant; 9x each half-variant). first==last==꽃바위. Loop body = outbound half (꽃바위→…→벽산유토피아, identical to variant 315 stops 1-25) + inbound half (벽산유토피아→…→꽃바위, identical to variant 314 = loop stops 25-49), joined at turnaround 벽산유토피아. seam_a_to_b true vs 315, seam_b_to_a true vs 314, name_jaccard 1.0 with both."
131,General,BR_TAGO_USB196101314,꽃바위 방면,25,2,False,벽산유토피아,꽃바위,short_turn,B:꽃바위 방면,BR_TAGO_USB196101313,high,agent,True,True,"runs only the INBOUND/return half (벽산유토피아→목화맨션앞→남목초등학교→…→일산새마을금고앞→꽃바위); drops the outbound half (꽃바위→벽산유토피아), starting from the turnaround 벽산유토피아 rather than completing the circle.","25 stops, frequency=2, is_loop=false. first=벽산유토피아 (loop turnaround), last=꽃바위. Sequence is exactly loop 313 stops 25-49. seam_b_to_a true with 313; reverse_pair=true with 315; name_jaccard 1.0 with both. Rare one-way trip mirroring 315."
131,General,BR_TAGO_USB196101315,벽산유토피아 방면,25,2,False,꽃바위,벽산유토피아,short_turn,C:벽산유토피아 방면,BR_TAGO_USB196101313,high,agent,True,True,"runs only the OUTBOUND half (꽃바위→일산새마을금고앞→…→남목초등학교→목화맨션앞→벽산유토피아); drops the return half (벽산유토피아→…→꽃바위), terminating at the turnaround 벽산유토피아 instead of completing the circle.","25 stops, frequency=2, is_loop=false. first=꽃바위, last=벽산유토피아 (loop turnaround). Sequence is exactly loop 313 stops 1-25. seam_a_to_b true with 313; reverse_pair=true with 314; name_jaccard 1.0 with both. Rare one-way trip (likely depot/first-or-last service-day trip)."
132,General,BR_TAGO_USB196101325,달천회관방면,63,4,False,꽃바위,달천회관앞,short_turn,A:달천회관방면(outbound 꽃바위→달천),BR_TAGO_USB196101323,medium,agent,True,True,removes the inbound return half of the loop: ends at the 달천회관앞 turnaround instead of looping back (달천농공단지입구→상안→홈플러스북구점→산전→병영→학성→현대자동차→남목→방어진→화암→꽃바위). Covers only the outbound leg 꽃바위→…→달천회관앞.,"frequency 4; linear (is_loop=false) 꽃바위→달천회관앞, 63 stops. jaccard 0.913 vs loop 323; seam_a_to_b=true (loop 323 terminal 꽃바위 == 325 first stop 꽃바위); relationship b_subset_detour_of_a -> a one-directional half of the loop ending at the 달천회관앞 mid-circuit point."
132,General,BR_TAGO_USB196101324,꽃바위 방면,61,4,False,달천농공단지입구,꽃바위,short_turn,B:꽃바위방면(inbound 달천→꽃바위),BR_TAGO_USB196101323,medium,agent,True,True,"removes the outbound half of the loop: starts at 달천농공단지입구 (just past the 달천회관앞 turnaround) instead of from 꽃바위, dropping 꽃바위→화암→방어진→남목→현대자동차→학성→병영→산전→홈플러스북구점→상안→달천아이파크. Covers only the inbound leg 달천농공단지입구→…→꽃바위.","frequency 4; linear (is_loop=false) 달천농공단지입구→꽃바위, 61 stops. jaccard 0.884 vs loop 323; seam_b_to_a=true (324 last stop 꽃바위 == loop 323 first stop 꽃바위); relationship b_subset_detour_of_a -> the opposite one-directional half of the loop. Note 병영1동행정복지센터 appears on the inbound side (mirrors loop inbound), confirming directional split."
132,General,BR_TAGO_USB196101323,꽃바위순환,125,26,True,꽃바위,꽃바위,circular,C:꽃바위순환(full loop),,high,agent,True,True,full circuit: 꽃바위→화암→방어진→일산→현대중공업/남목→염포→현대자동차→효문→종합운동장→학성→병영→산전→서동→외솔→홈플러스북구점→쌍용아진→상안→달천아이파크→달천회관앞 (turnaround) then reverse back to 꽃바위,"is_loop=true, first_norm==last_norm==꽃바위, 125 stops (the entire out-and-back circuit incl. 달천회관앞 turnaround); frequency 26 = dominant operation (26 of 34 trips). Both the LONGEST and the MOST FREQUENT variant, and the other two are proper subsets of it (jaccard 0.913 and 0.884) -> unambiguous 본선. n_stops decomposition: 63(out)+61(in) ~= 125 confirms this loop is the concatenation of 325 and 324."
